# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
KJ763241.1.1797	31.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Duboscquella; s__unclassified_MALV_1
KC771151.1.1809	4.0	13.0	0.0	20.0	0.0	38.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas; s__uncultured_eukaryote
KJ763708.1.1799	1.0	3.0	0.0	0.0	0.0	0.0	1.0	34.0	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__uncultured; f__uncultured; g__uncultured; s__uncultured_marine
KF129956.1.1743	8.0	5.0	17.0	0.0	0.0	0.0	1.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_eukaryote
KF620983.1.1801	8.0	21.0	8.0	0.0	1.0	0.0	0.0	1.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__Haptophyta_environmental
EU851173.1.1731	6.0	4.0	0.0	5.0	4.0	7.0	5.0	0.0	d__Eukaryota; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Thraustochytriaceae; g__Aplanochytrium; s__Aplanochytrium_sp.
AF293685.1	23.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Metazoa; c__Metazoa; o__Metazoa; f__Eumetazoa_Ctenophora; g__Thalassocalyce; s__Thalassocalyce
KJ762999.1.1800	3.0	8.0	10.0	0.0	1.0	0.0	3.0	3.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina
FJ467491.1.1211	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade; g__Erythropsidinium; s__Erythropsidinium_agile
KF129794.1.1759	1.0	2.0	0.0	0.0	28.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya
KF130052.1.1757	8.0	24.0	1.0	0.0	5.0	8.0	21.0	2.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
AY664959.1.1752	12.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I
AJ535178.1.1801	16.0	11.0	0.0	0.0	0.0	2.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Rhizosolenia; s__Rhizosolenia_similoides
KP187826.1.1206	9.0	18.0	0.0	0.0	0.0	4.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Protaspa
KY980089.1.1695	3.0	20.0	2.0	5.0	0.0	1.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Rhizosolenia; s__Rhizosolenia_setigera
KJ762927.1.1798	20.0	18.0	0.0	0.0	0.0	2.0	5.0	0.0	d__Eukaryota
KP790150.1.1330	33.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	d__Eukaryota; p__Dinoflagellata
KR535601.1.1799	36.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
